Title,Duration
120 BPM,2h 23Minutes
13 Assassins,2h 6Minutes
1976,1h 35Minutes
1985,1h 25Minutes
20 Days In Mariupol,1h 35Minutes
20 Feet From Stardom,1h 31Minutes
"20,000 Species of Bees",2h 5Minutes
2021 Oscar Nominated Short Films,2h 10Minutes
21 Grams,2h 4Minutes
3 Faces,1h 40Minutes
3:10 To Yuma,2h 2Minutes
35 Shots Of Rum,1h 40Minutes
360,1h 53Minutes
"4 Months, 3 Weeks & 2 Days",1h 53Minutes
45 Years,1h 35Minutes
71 Fragments Of A Chronology Of Chance,1h 40Minutes
76 Days,1h 33Minutes
8½,2h 18Minutes
American Star,1h 47Minutes
A Chiara,2h 1Minutes
a-ha: The Movie,1h 48Minutes
About Endlessness,1h 18Minutes
The Act Of Killing,1h 55Minutes
The Adjuster,1h 42Minutes
Adoration,1h 41Minutes
After Life,1h 59Minutes
After Love (2021),1h 30Minutes
After Love (2016),1h 40Minutes
After The Storm,1h 53Minutes
Afire,1h 42Minutes
Aftersun,1h 42Minutes
Age Of Uprising: The Legend Of Michael Kohlhaas,2h 2Minutes
"Aguirre, Wrath Of God",1h 30Minutes
Ahead of the Curve,1h 38Minutes
Ai Weiwei: Never Sorry,1h 31Minutes
Ailey,1h 35Minutes
Albert R.N.,1h 29Minutes
Alcarràs,2h 0Minutes
Ali & Ava,1h 34Minutes
Ali: Fear Eats The Soul,1h 30Minutes
Alibi,1h 30Minutes
Alice in the Cities,1h 50Minutes
All About My Mother,1h 37Minutes
All Is Vanity,1h 12Minutes
Almost Holy,1h 33Minutes
Alone In Berlin,1h 38Minutes
Alps,1h 33Minutes
Amadeus: Director's Cut,3h 8Minutes
Amanda (2020),1h 47Minutes
Amanda (2023),1h 34Minutes
The American Friend,2h 0Minutes
American Psycho,1h 42Minutes
American Woman,1h 52Minutes
Amistad,2h 35Minutes
Ammonite,2h 0Minutes
Amour,2h 7Minutes
Amour Fou,1h 36Minutes
Amulet,1h 39Minutes
Anatomy of a Fall,2h 32Minutes
Anchorage,1h 22Minutes
An Angel At My Table,2h 38Minutes
Angelheaded Hipster: The Songs of Marc Bolan & T. Rex,1h 39Minutes
An Impossible Love,2h 10Minutes
Anaïs in Love,1h 38Minutes
And The Pursuit Of Happiness,1h 18Minutes
And Then We Danced,1h 53Minutes
Andrei Rublev,2h 54Minutes
Angels Of Evil,2h 5Minutes
Animals,1h 49Minutes
Anomalisa,1h 30Minutes
Anonymous Club,1h 26Minutes
Another Man's Poison,1h 30Minutes
Another Round,1h 56Minutes
Anselm,1h 33Minutes
Antichrist,1h 48Minutes
Apostasy,1h 30Minutes
Apples,1h 31Minutes
