Title,Duration,Watch with Mike,Mike rec,My choice,Watched,Chest
120 BPM,2h 23m,,,,,
13 Assassins,2h 6m,,,,,
1976,1h 35m,,,,,
1985,1h 25m,,,,,
20 Days In Mariupol,1h 35m,,,,y,
20 Feet From Stardom,1h 31m,,,,y,
"20,000 Species of Bees",2h 5m,,,,,
2021 Oscar Nominated Short Films,2h 10m,,,,,
21 Grams,2h 4m,,,,,
3 Faces,1h 40m,,,,,
3:10 To Yuma,2h 2m,,,,,
35 Shots Of Rum,1h 40m,,,,,
360,1h 53m,,,,,
"4 Months, 3 Weeks & 2 Days",1h 53m,,Y,,,
45 Years,1h 35m,,Y,,,
71 Fragments Of A Chronology Of Chance,1h 40m,,,,,
76 Days,1h 33m,,,,,
8½,2h 18m,,,,,
American Star,1h 47m,,,,,
A Chiara,2h 1m,,,,,
a-ha: The Movie,1h 48m,,,,,
About Endlessness,1h 18m,,,,,
The Act Of Killing,1h 55m,,,,,
The Adjuster,1h 42m,,,,,
Adoration,1h 41m,,,,,
After Life,1h 59m,,,,,
After Love (2021),1h 30m,,,,,
After Love (2016),1h 40m,,,,,
After The Storm,1h 53m,,,,,
Afire,1h 42m,,,,,
Aftersun,1h 42m,,,,Y,
Age Of Uprising: The Legend Of Michael Kohlhaas,2h 2m,,,,,
"Aguirre, Wrath Of God",1h 30m,,,,,
Ahead of the Curve,1h 38m,,,,,
Ai Weiwei: Never Sorry,1h 31m,,,,,
Ailey,1h 35m,,,,,
Albert R.N.,1h 29m,,,,,
Alcarràs,2h 0m,,,,,
Ali & Ava,1h 34m,,,,,
Ali: Fear Eats The Soul,1h 30m,,,,,
Alibi,1h 30m,,,,,
Alice in the Cities,1h 50m,,,,,
All About My Mother,1h 37m,,,,Y,
All Is Vanity,1h 12m,,,,,
Almost Holy,1h 33m,,,,,
Alone In Berlin,1h 38m,,,,,
Alps,1h 33m,,,,,
Amadeus: Director's Cut,3h 8m,,,,,
Amanda (2020),1h 47m,,,,,
Amanda (2023),1h 34m,,,,Y,
The American Friend,2h 0m,,,,,
American Psycho,1h 42m,,,,Y,
American Woman,1h 52m,,,,,
Amistad,2h 35m,,,,,
Ammonite,2h 0m,,,,,
Amour,2h 7m,,,,,
Amour Fou,1h 36m,,,,,
Amulet,1h 39m,,,,,
Anatomy of a Fall,2h 32m,,,,Y,
Anchorage,1h 22m,,,,,
An Angel At My Table,2h 38m,,,,,
Angelheaded Hipster: The Songs of Marc Bolan & T. Rex,1h 39m,,,,,
An Impossible Love,2h 10m,,,,,
Anaïs in Love,1h 38m,,,,,
